CITE_seq	Gene_name
CD127_A019D5_TotalC	IL7R
CD127_TotalSeqC	IL7R
CD14_M5E2_TotalC	CD14
CD14_TotalSeqC	CD14
CD15_TotalSeqC	FUT4
CD15_W6D3_TotalC	FUT4
CD16_3G8_TotalC	FCGR3A
CD16_TotalSeqC	FCGR3A
CD19_HIB19_TotalC	CD19
CD19_TotalSeqC	CD19
CD25_BC96_TotalC	IL2RA
CD25_TotalSeqC	IL2RA
CD3_TotalSeqC	CD3D
CD3_UCHT1_TotalC	CD3D
CD4_RPA-T4_TotalC	CD4
CD4_TotalSeqC	CD4
CD45RA_HI100_TotalC	PTPRC
CD45RA_TotalSeqC	PTPRC
CD45RO_TotalSeqC	PTPRC
CD45RO_UCHL1_TotalC	PTPRC
CD56_QA17A16_TotalC	NCAM1
CD56_TotalSeqC	NCAM1
CD8a_RPA-T8_TotalC	CD8A
CD8a_TotalSeqC	CD8A
IgG1_control_TotalSeqC	IGHG1
IgG2a_control_TotalSeqC	IGHG2
IgG2b_control_TotalSeqC	IGHG2
isotype_control_IgG1_MOPC-21_TotalC	IGHG1
isotype_control_IgG2a_MOPC-173_TotalC	IGHG2
isotype_control_IgG2b_MPC-11_TotalC	IGHG2
PD-1_EH12.2H7_TotalC	PDCD1
PD-1_TotalSeqC	PDCD1
TIGIT_A15153G_TotalC	TIGIT
TIGIT_TotalSeqC	TIGIT
CD11b_TotalSeqC	ITGAM
CD197_TotalSeqC	CCR7
CD278_TotalSeqC	ICOS
CD279_TotalSeqC	PDCD1
CD27_TotalSeqC	CD27
CD28_TotalSeqC	CD28
CD45_TotalSeqC	PTPRC
CD62L_TotalSeqC	SELL
CD80_TotalSeqC	CD80
CD86_TotalSeqC	CD86
HLA-DR_TotalSeqC	HLA-DRB1
